2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,Rating in the most recent five years
1/3046,n/a,n/a,Al-Risala,Mississauga,10,n/a
1/3046,n/a,n/a,Avondale Alternative,Toronto,10,n/a
1/3046,n/a,n/a,Havergal,Toronto,10,n/a
1/3046,n/a,n/a,IQRA Islamic,Mississauga,10,n/a
1/3046,n/a,n/a,Islamic Foundation,Ajax,10,n/a
1/3046,n/a,n/a,Islamic Institute of Toronto,Toronto,10,n/a
1/3046,n/a,n/a,Islamic School of Cambridge,Cambridge,10,n/a
1/3046,n/a,n/a,Khalsa Community,Brampton,10,n/a
1/3046,n/a,n/a,Khalsa School Malton,Mississauga,10,n/a
1/3046,n/a,n/a,Laggan,Dalkeith,10,n/a
1/3046,n/a,n/a,Northmount,Toronto,10,n/a
1/3046,n/a,n/a,Safa & Marwa,Mississauga,10,n/a
1/3046,n/a,n/a,Sathya Sai,Toronto,10,n/a
1/3046,n/a,n/a,St Justin Martyr,Unionville,10,n/a
1/3046,n/a,n/a,St Mildred's-Lightbourn,Oakville,10,n/a
1/3046,n/a,n/a,St Sebastian,Toronto,10,n/a
17/3046,n/a,n/a,Islamic School of Hamilton,Hamilton,9.9,n/a
17/3046,n/a,n/a,Silver Stream,Richmond Hill,9.9,n/a
19/3046,n/a,n/a,Sainte-Marguerite-Bourgeoys,Markham,9.8,n/a
19/3046,n/a,n/a,St Benedict,Unionville,9.8,n/a
21/3046,n/a,n/a,Convent Glen,Orléans,9.7,n/a
21/3046,n/a,n/a,Donald Cousens,Markham,9.7,n/a
23/3046,n/a,n/a,Nile Academy,Toronto,9.6,n/a
23/3046,n/a,n/a,Olive Grove,Mississauga,9.6,n/a
25/3046,n/a,n/a,Al-Ameen,Brampton,9.5,n/a
25/3046,n/a,n/a,Errol Village,Camlachie,9.5,n/a
25/3046,n/a,n/a,Fleming,Toronto,9.5,n/a
25/3046,n/a,n/a,Guru Tegh Bahadur,Brampton,9.5,n/a
25/3046,n/a,n/a,Lyn-Tincap,Lyn,9.5,n/a
25/3046,n/a,n/a,Stonebridge,Markham,9.5,n/a
25/3046,n/a,n/a,Whitney,Toronto,9.5,n/a
32/3046,n/a,n/a,St Rose of Lima,Mississauga,9.4,n/a
32/3046,n/a,n/a,Wali ul Asr,Brampton,9.4,n/a
34/3046,n/a,n/a,Clara Hughes,Oshawa,9.3,n/a
34/3046,n/a,n/a,Denlow,Toronto,9.3,n/a
34/3046,n/a,n/a,Fallingbrook,Whitby,9.3,n/a
34/3046,n/a,n/a,Humber Valley Village,Toronto,9.3,n/a
34/3046,n/a,n/a,ISNA Islamic,Mississauga,9.3,n/a
34/3046,n/a,n/a,John Ross Robertson,Toronto,9.3,n/a
34/3046,n/a,n/a,John XXIII,Arnprior,9.3,n/a
34/3046,n/a,n/a,Masonville,London,9.3,n/a
34/3046,n/a,n/a,St Raphaels,Burlington,9.3,n/a
43/3046,n/a,n/a,Beverly Glen,Toronto,9.2,n/a
43/3046,n/a,n/a,Islamic Foundation,Toronto,9.2,n/a
43/3046,n/a,n/a,St Ann,St Catharines,9.2,n/a
43/3046,n/a,n/a,Wali ul Asr,Caledon,9.2,n/a
47/3046,n/a,n/a,Ahlul Bayt Islamic,Ottawa,9.1,n/a
47/3046,n/a,n/a,Alexandra,Lindsay,9.1,n/a
47/3046,n/a,n/a,Arc-en-ciel,Orléans,9.1,n/a
47/3046,n/a,n/a,Blythwood,Toronto,9.1,n/a
47/3046,n/a,n/a,Elizabeth B Phin,Pickering,9.1,n/a
47/3046,n/a,n/a,North Cavan,Cavan,9.1,n/a
