2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,Rating in the most recent five years
1/738,n/a,n/a,Havergal,Toronto,10,n/a
2/738,n/a,n/a,Wali ul Asr,Caledon,9.9,n/a
3/738,1/625,—,St Michael's Choir,Toronto,9.6,9.5
3/738,2/625,—,Colonel By,Gloucester,9.6,9.3
3/738,3/625,,Ursula Franklin,Toronto,9.6,9
6/738,3/625,—,St Robert,Thornhill,9.3,9
7/738,3/625,—,Markville,Markham,9.2,9
7/738,3/625,—,Oakville Trafalgar,Oakville,9.2,9
7/738,20/625,—,North Toronto,Toronto,9.2,8.6
10/738,3/625,,St Therese of Lisieux,Richmond Hill,9.1,9
11/738,20/625,—,ISNA,Mississauga,9,8.6
11/738,n/a,n/a,Canadian Intl. School of Hong Kong,Hong Kong,9,n/a
13/738,9/625,—,Unionville,Unionville,8.9,8.9
14/738,12/625,—,St Augustine,Markham,8.8,8.8
14/738,14/625,—,Cardinal Carter-Arts,Toronto,8.8,8.7
14/738,14/625,—,Iroquois Ridge,Oakville,8.8,8.7
14/738,14/625,—,West Carleton,Dunrobin,8.8,8.7
14/738,14/625,—,William Lyon Mackenzie,Toronto,8.8,8.7
14/738,n/a,n/a,John Fraser,Mississauga,8.8,n/a
20/738,3/625,—,London Central,London,8.7,9
20/738,9/625,—,Bayview,Richmond Hill,8.7,8.9
20/738,9/625,—,Pierre Elliott Trudeau,Markham,8.7,8.9
20/738,n/a,n/a,Jean-Vanier,Kirkland Lake,8.7,n/a
24/738,12/625,—,Richmond Hill,Richmond Hill,8.6,8.8
24/738,14/625,—,Bur Oak,Markham,8.6,8.7
24/738,35/625,,Garth Webb,Oakville,8.6,8.2
24/738,39/625,—,St. Thomas Aquinas,Russell,8.6,8.1
24/738,n/a,n/a,Lisgar,Ottawa,8.6,n/a
29/738,20/625,—,Earl of March,Kanata,8.5,8.6
29/738,24/625,—,John McCrae,Nepean,8.5,8.5
29/738,n/a,n/a,Ange-Gabriel,Brockville,8.5,n/a
32/738,24/625,—,St Marcellinus,Mississauga,8.4,8.5
32/738,29/625,—,Etobicoke-Arts,Toronto,8.4,8.4
32/738,34/625,—,White Oaks,Oakville,8.4,8.3
32/738,35/625,—,All Saints,Kanata,8.4,8.2
32/738,35/625,—,Aurora,Aurora,8.4,8.2
32/738,n/a,n/a,The Woodlands,Mississauga,8.4,n/a
38/738,24/625,—,Earl Haig,Toronto,8.3,8.5
38/738,29/625,—,Centennial,Guelph,8.3,8.4
38/738,49/625,—,St Benedict,Sudbury,8.3,8
38/738,57/625,—,John F Ross,Guelph,8.3,7.9
38/738,100/625,,South Carleton,Richmond,8.3,7.5
38/738,184/625,,Saint-Charles-Garnier,Whitby,8.3,7
38/738,334/625,,Collège Français,Toronto,8.3,6.1
45/738,24/625,—,St Michael,Kemptville,8.2,8.5
45/738,n/a,n/a,A Y Jackson,Toronto,8.2,n/a
45/738,n/a,n/a,Bill Hogarth,Markham,8.2,n/a
45/738,n/a,n/a,Donald A. Wilson,Whitby,8.2,n/a
49/738,14/625,—,Abbey Park,Oakville,8.1,8.7
49/738,39/625,—,Elmira,Elmira,8.1,8.1
49/738,39/625,—,Leaside,Toronto,8.1,8.1
49/738,39/625,—,Richmond Green,Richmond Hill,8.1,8.1
49/738,57/625,—,Agincourt,Toronto,8.1,7.9
49/738,57/625,—,Sir John A Macdonald,Waterloo,8.1,7.9
49/738,66/625,—,Jeunes sans frontières,Brampton,8.1,7.8
49/738,66/625,,Marie-Rivier,Kingston,8.1,7.8
49/738,66/625,—,St Francis Xavier,Mississauga,8.1,7.8
49/738,75/625,—,St Ignatius of Loyola,Oakville,8.1,7.7
49/738,100/625,—,Milliken Mills,Unionville,8.1,7.5
49/738,129/625,,Merivale,Nepean,8.1,7.3
49/738,n/a,n/a,Paul-Desmarais,Ottawa,8.1,n/a
62/738,20/625,—,St Joseph's,Renfrew,8,8.6
62/738,39/625,—,Holy Trinity,Kanata,8,8.1
62/738,39/625,—,Westmount,Thornhill,8,8.1
62/738,49/625,—,Marymount,Sudbury,8,8
62/738,66/625,—,Eden,St Catharines,8,7.8
62/738,66/625,,Stephen Lewis,Thornhill,8,7.8
62/738,75/625,—,A.Y. Jackson,Kanata,8,7.7
